# Pac-10
School	W	L	Pct	W	L	Pct	Pts	Pts	SRS	SOS	AP Pre	AP High	AP Post	Notes
West	W	L	Pct	W	L	Pct	Pts	Pts	SRS	SOS	AP Pre	AP High	AP Post	Notes
Toledo	10	1	.909	6	1	.857	36.4	11.4	8.63	-9.28		25		
Western Michigan	9	3	.750	7	1	.875	29.9	11.6	5.96	-5.79				
Northern Illinois	6	5	.545	4	3	.571	37.2	25.5	-0.39	-5.21				
Ball State	5	6	.455	4	3	.571	19.3	31.7	-9.96	-4.41				
Eastern Michigan	3	8	.273	2	5	.286	19.0	31.8	-15.40	-4.31				
Central Michigan	2	9	.182	2	6	.250	12.5	34.2	-17.66	-3.66				

# Big West
School	W	L	Pct	W	L	Pct	Pts	Pts	SRS	SOS	AP Pre	AP High	AP Post	Notes
Boise State	10	2	.833	5	0	1.000	44.3	22.8	6.78	-8.80				
Utah State	5	6	.455	4	1	.800	26.5	32.4	-11.16	-5.53				
Idaho	5	6	.455	3	2	.600	29.2	34.3	-7.41	-3.23				
New Mexico State	3	8	.273	1	4	.200	26.8	32.5	-8.82	-4.00				
North Texas	3	8	.273	1	4	.200	14.7	27.3	-13.51	-5.69				
Arkansas State	1	10	.091	1	4	.200	22.5	37.3	-13.40	-1.58				

# Independent
School	W	L	Pct	W	L	Pct	Pts	Pts	SRS	SOS	AP Pre	AP High	AP Post	Notes
Notre Dame	9	3	.750	0	0		29.4	22.3	12.45	5.12		10	15	
South Florida	7	4	.636	0	0		25.3	18.3	-8.94	-12.13				
UCF	7	4	.636	0	0		30.3	20.1	-1.83	-7.10				
Middle Tennessee State	6	5	.545	0	0		31.8	28.7	-4.50	-6.50				
Connecticut	3	8	.273	0	0		20.0	33.5	-16.91	-9.36				
Louisiana Tech	3	9	.250	0	0		26.4	33.0	-10.72	-5.30				
Louisiana-Lafayette	1	10	.091	0	0		15.5	32.3	-21.67	-8.58				
Louisiana-Monroe	1	10	.091	0	0		8.7	37.7	-26.52	-7.89				
Navy	1	10	.091	0	0		16.5	35.5	-15.36	0.73				

School	W	L	Pct	W	L	Pct	Pts	Pts	SRS	SOS	AP Pre	AP High	AP Post	Notes
Marshall	8	5	.615	5	3	.625	28.2	22.8	-0.90	-4.83				
Ohio	7	4	.636	5	3	.625	31.2	18.9	-0.88	-8.24				
Akron	6	5	.545	5	3	.625	30.3	26.8	-5.38	-7.65				
Miami (OH)	6	5	.545	5	3	.625	24.7	26.0	-7.92	-7.65				
Bowling Green State	2	9	.182	2	6	.250	15.8	26.3	-13.95	-4.49				
Buffalo	2	9	.182	2	6	.250	16.1	41.1	-21.01	-7.28				
Kent State	1	10	.091	1	7	.125	11.6	32.6	-22.09	-5.82				
Toledo	10	1	.909	6	1	.857	36.4	11.4	8.63	-9.28		25		
Western Michigan	9	3	.750	7	1	.875	29.9	11.6	5.96	-5.79				
Northern Illinois	6	5	.545	4	3	.571	37.2	25.5	-0.39	-5.21				
Ball State	5	6	.455	4	3	.571	19.3	31.7	-9.96	-4.41				
Eastern Michigan	3	8	.273	2	5	.286	19.0	31.8	-15.40	-4.31				
Central Michigan	2	9	.182	2	6	.250	12.5	34.2	-17.66	-3.66				
