"time","n1","n2","weight",,,,
"t_0","17","12","3.8273152E-4",,,,
"t_0","37","13","4.3580556E-4",,,,
"t_0","17","11","3.3294395E-4",,,,
"t_0","05","21","2.2239253E-4",,,,
"t_0","20","23","4.3874167E-4",,,,
"t_0","33","14","4.0432235E-4",,,,
"t_0","28","32","4.1548623E-4",,,,
"t_0","03","18","2.1086304E-4",,,,
"t_0","17","23","4.097994E-4",,,,
"t_0","39","35","4.145449E-4",,,,
"t_0","25","04","2.5291453E-4",,,,
"t_0","33","21","4.1695315E-4",,,,
"t_0","30","05","2.2779084E-4",,,,
"t_0","30","12","3.9110184E-4",,,,
"t_0","28","39","4.0262466E-4",,,,
"t_0","06","21","2.1637569E-4",,,,
"t_0","30","36","3.8626033E-4",,,,
"t_0","24","01","1.8498681E-4",,,,
"t_0","06","39","2.2739935E-4",,,,
"t_0","13","17","3.9879224E-4",,,,
"t_0","10","37","4.4364843E-4",,,,
"t_0","04","36","2.2153299E-4",,,,
"t_0","31","29","4.2890536E-4",,,,
"t_0","27","35","4.2077262E-4",,,,
"t_0","30","31","4.1436567E-4",,,,
"t_0","11","36","3.330959E-4",,,,
"t_0","05","02","1.4282283E-4",,,,
"t_0","37","20","4.303521E-4",,,,
"t_0","03","15","2.359375E-4",,,,
"t_0","12","34","4.2790206E-4",,,,
"t_0","30","03","2.1816224E-4",,,,
"t_0","12","21","3.8386846E-4",,,,
"t_0","32","03","2.3380974E-4",,,,
"t_0","20","17","3.9643218E-4",,,,
"t_0","06","37","2.2864458E-4",,,,
"t_0","03","37","2.2961445E-4",,,,
"t_0","18","28","3.827301E-4",,,,
"t_0","38","16","3.9254624E-4",,,,
"t_0","19","25","4.161515E-4",,,,
"t_0","25","28","4.2746E-4",,,,
"t_0","06","26","1.4556792E-4",,,,
"t_0","20","33","4.4757206E-4",,,,
"t_0","28","24","3.4655313E-4",,,,
"t_0","22","10","4.0596895E-4",,,,
"t_0","39","29","4.1783202E-4",,,,
"t_0","32","38","3.9347808E-4",,,,
"t_0","29","27","4.3554732E-4",,,,
"t_0","16","38","3.9254624E-4",,,,
"t_0","31","06","2.3299508E-4",,,,
"t_0","07","09","2.08809E-4",,,,
"t_0","18","09","3.4984658E-4",,,,
"t_0","10","09","4.1677695E-4",,,,
"t_0","07","12","2.1931241E-4",,,,
"t_0","15","08","2.5744716E-4",,,,
"t_0","32","34","4.490612E-4",,,,
"t_0","12","26","2.4027558E-4",,,,
"t_0","18","20","3.9669097E-4",,,,
"t_0","29","16","4.4344497E-4",,,,
"t_0","38","20","3.9359427E-4",,,,
"t_0","17","15","4.237409E-4",,,,
"t_0","36","21","3.719422E-4",,,,
"t_0","34","19","4.2991323E-4",,,,
"t_0","37","32","4.296432E-4",,,,
"t_0","18","05","2.2083148E-4",,,,
"t_0","04","28","2.3877434E-4",,,,
"t_0","26","02","1.4961536E-4",,,,
"t_0","30","34","4.4169708E-4",,,,
"t_0","27","37","4.323511E-4",,,,
"t_0","29","31","4.2890536E-4",,,,
"t_0","17","33","4.06698E-4",,,,
"t_0","09","24","3.2361157E-4",,,,
"t_0","31","13","4.3206915E-4",,,,
"t_0","02","31","2.460945E-4",,,,
"t_0","27","11","3.513925E-4",,,,
"t_0","32","04","2.3252498E-4",,,,
"t_0","13","39","4.2648328E-4",,,,
"t_0","11","18","3.2288703E-4",,,,
"t_0","38","27","3.8534962E-4",,,,
"t_0","19","35","3.9355727E-4",,,,
"t_0","22","27","3.8581644E-4",,,,
"t_0","19","37","4.028586E-4",,,,
"t_0","04","22","2.1822518E-4",,,,
"t_0","38","25","4.0188103E-4",,,,
"t_0","17","01","2.0489907E-4",,,,
"t_0","03","35","2.2071078E-4",,,,
"t_0","23","08","2.3914133E-4",,,,
"t_0","32","24","3.51028E-4",,,,
"t_0","06","18","2.1504815E-4",,,,
"t_0","31","16","4.2633622E-4",,,,
"t_0","21","23","4.1199938E-4",,,,
"t_0","04","02","1.4809419E-4",,,,
"t_0","39","18","3.8014897E-4",,,,
"t_0","30","01","2.1696795E-4",,,,
"t_0","25","37","4.4072574E-4",,,,
"t_0","28","29","4.2472157E-4",,,,
"t_0","25","07","2.414504E-4",,,,
"t_0","18","10","4.0549962E-4",,,,
"t_0","31","35","4.1972278E-4",,,,
"t_0","17","36","3.59337E-4",,,,
"t_0","18","24","3.257279E-4",,,,
"t_0","08","05","1.3144487E-4",,,,
"t_0","30","04","2.3727467E-4",,,,
"t_0","31","10","4.420253E-4",,,,
"t_0","23","16","4.4261027E-4",,,,
"t_0","20","26","2.6711347E-4",,,,
"t_0","36","05","2.2531764E-4",,,,
"t_0","26","14","2.4803044E-4",,,,
"t_0","33","28","4.3035974E-4",,,,
"t_0","37","34","4.5045407E-4",,,,
"t_0","23","04","2.4570446E-4",,,,
"t_0","20","22","3.8734067E-4",,,,
"t_0","13","06","2.3181277E-4",,,,
"t_0","11","28","3.4463505E-4",,,,
"t_0","40","06","2.2837304E-4",,,,
"t_0","14","20","4.061925E-4",,,,
"t_0","03","14","2.1081936E-4",,,,
"t_0","32","01","2.1536245E-4",,,,
"t_0","15","35","4.4365195E-4",,,,
"t_0","26","30","2.525394E-4",,,,
"t_0","11","37","3.5500905E-4",,,,
"t_0","05","22","2.1004317E-4",,,,
"t_0","06","08","1.3156387E-4",,,,
"t_0","10","19","4.2742866E-4",,,,
"t_0","25","15","4.597746E-4",,,,
"t_0","37","18","3.897771E-4",,,,
"t_0","33","03","2.2151602E-4",,,,
"t_0","18","40","3.8562273E-4",,,,
"t_0","29","32","4.400924E-4",,,,
"t_0","40","08","2.3976949E-4",,,,
"t_0","39","40","4.1368578E-4",,,,
"t_0","13","11","3.5898355E-4",,,,
"t_0","22","24","3.1648832E-4",,,,
"t_0","40","11","3.503437E-4",,,,
"t_0","10","06","2.4094668E-4",,,,
"t_0","05","28","2.3109539E-4",,,,
"t_0","21","28","3.918637E-4",,,,
"t_0","19","24","3.4189303E-4",,,,
"t_0","29","24","3.6228375E-4",,,,
"t_0","35","26","2.6160578E-4",,,,
"t_0","09","32","3.8831297E-4",,,,
"t_0","35","23","4.2974425E-4",,,,
"t_0","28","26","2.4739793E-4",,,,
"t_0","18","08","2.1260435E-4",,,,
"t_0","27","20","4.3149406E-4",,,,
"t_0","24","35","3.5331456E-4",,,,
"t_0","31","12","3.9923762E-4",,,,
"t_0","16","19","3.9850138E-4",,,,
"t_0","40","36","3.8916778E-4",,,,
"t_0","31","34","4.432265E-4",,,,
"t_0","20","28","4.1504845E-4",,,,
"t_0","40","01","2.2600421E-4",,,,
"t_0","30","14","3.8093317E-4",,,,
"t_0","16","14","4.04553E-4",,,,
"t_0","15","13","4.5288546E-4",,,,
"t_0","13","01","2.2525212E-4",,,,
"t_0","03","22","1.9944557E-4",,,,
"t_0","20","15","4.5125213E-4",,,,
"t_0","15","11","3.770239E-4",,,,
"t_0","18","07","2.1390455E-4",,,,
"t_0","05","13","2.469157E-4",,,,
"t_0","01","38","2.0712113E-4",,,,
"t_0","16","09","3.8283045E-4",,,,
"t_0","37","35","4.1986682E-4",,,,
"t_0","34","05","2.5406966E-4",,,,
"t_0","19","16","3.9850138E-4",,,,
"t_0","30","38","3.7907876E-4",,,,
"t_0","20","19","4.1091576E-4",,,,
"t_0","38","21","3.669885E-4",,,,
"t_0","36","28","3.838641E-4",,,,
"t_0","31","19","3.981242E-4",,,,
"t_0","06","28","2.2604613E-4",,,,
"t_0","24","11","3.0488143E-4",,,,
"t_0","34","24","3.8008098E-4",,,,
"t_0","16","25","4.472312E-4",,,,
"t_0","20","24","3.596224E-4",,,,
"t_0","23","10","4.6231018E-4",,,,
"t_0","25","36","4.0242114E-4",,,,
