"time","n1","n2","weight",,,,
"t_0","03","19","2.199504E-5",,,,
"t_0","01","01","0.036161307",,,,
"t_0","20","20","0.019153036",,,,
"t_0","22","21","1.5227052E-5",,,,
"t_0","02","05","1.4225395E-5",,,,
"t_0","10","33","2.892479E-5",,,,
"t_0","17","11","1.2146288E-5",,,,
"t_0","13","10","2.393505E-5",,,,
"t_0","06","19","1.784961E-5",,,,
"t_0","25","32","2.9808525E-5",,,,
"t_0","39","02","1.6988492E-5",,,,
"t_0","25","06","2.1285434E-5",,,,
"t_0","17","32","3.536126E-5",,,,
"t_0","33","37","1.7223654E-5",,,,
"t_0","24","02","1.7431677E-5",,,,
"t_0","10","32","3.783093E-5",,,,
"t_0","07","36","1.7018037E-5",,,,
"t_0","05","08","1.6458423E-5",,,,
"t_0","16","02","1.8758707E-5",,,,
"t_0","13","27","2.6586844E-5",,,,
"t_0","40","17","2.1037433E-5",,,,
"t_0","39","25","1.8839091E-5",,,,
"t_0","33","06","1.7841756E-5",,,,
"t_0","04","23","1.7851575E-5",,,,
"t_0","16","32","1.9837818E-5",,,,
"t_0","36","14","1.3338697E-5",,,,
"t_0","16","31","2.2696104E-5",,,,
"t_0","05","12","1.3208E-5",,,,
"t_0","19","39","2.2840231E-5",,,,
"t_0","32","18","2.1474634E-5",,,,
"t_0","27","40","1.995431E-5",,,,
"t_0","03","11","1.9177709E-5",,,,
"t_0","17","02","2.2525428E-5",,,,
"t_0","38","34","1.7512493E-5",,,,
"t_0","24","16","1.5727092E-5",,,,
"t_0","32","25","2.9808525E-5",,,,
"t_0","29","12","1.9224237E-5",,,,
"t_0","29","19","1.924144E-5",,,,
"t_0","28","07","1.8103221E-5",,,,
"t_0","06","11","1.5070974E-5",,,,
"t_0","30","02","1.7120454E-5",,,,
"t_0","23","14","1.3818587E-5",,,,
"t_0","06","29","1.8503693E-5",,,,
"t_0","12","40","1.3754987E-5",,,,
"t_0","10","23","2.1766067E-5",,,,
"t_0","04","28","1.4432848E-5",,,,
"t_0","30","35","1.8325953E-5",,,,
"t_0","27","04","2.2505103E-5",,,,
"t_0","29","37","1.4174674E-5",,,,
"t_0","11","21","1.542627E-5",,,,
"t_0","04","34","1.9957057E-5",,,,
"t_0","36","21","1.794209E-5",,,,
"t_0","03","08","1.5235108E-5",,,,
"t_0","12","18","2.0844418E-5",,,,
"t_0","29","10","2.7442355E-5",,,,
"t_0","12","05","1.3208E-5",,,,
"t_0","31","08","1.9946674E-5",,,,
"t_0","19","34","2.101854E-5",,,,
"t_0","06","27","1.5739392E-5",,,,
"t_0","03","30","1.689466E-5",,,,
"t_0","18","06","1.3225492E-5",,,,
"t_0","37","16","1.7160664E-5",,,,
"t_0","19","02","1.0839678E-5",,,,
"t_0","24","39","1.9283007E-5",,,,
"t_0","06","16","1.646623E-5",,,,
"t_0","20","09","1.9034205E-5",,,,
"t_0","27","33","2.2609764E-5",,,,
"t_0","21","25","1.7036084E-5",,,,
"t_0","38","28","1.756441E-5",,,,
"t_0","32","02","1.7928516E-5",,,,
"t_0","28","35","1.858387E-5",,,,
